Date   ;Time         Channel;Channel;BPM;Antenna;Power
2015-06-03;15:47:49;1;31.3;1;44
2015-06-03;15:47:50;1;31.3;1;39
2015-06-03;15:47:52;1;31.3;1;50
2015-06-03;15:47:54;1;31.4;1;47
2015-06-03;15:47:56;1;31.4;1;46
2015-06-03;15:47:58;1;31.4;1;39
2015-06-03;15:48:00;1;31.3;1;43
2015-06-03;15:48:02;1;31.4;1;42
2015-06-03;15:48:04;1;31.4;1;41
2015-06-03;15:48:08;1;31.4;1;35
2015-06-03;15:48:10;1;31.4;1;42
2015-06-03;15:48:11;1;31.4;1;40
2015-06-03;15:48:13;1;31.4;1;37
2015-06-03;15:48:15;1;31.4;1;41
2015-06-03;15:48:17;1;31.4;1;42
2015-06-03;15:48:19;1;31.4;1;39
2015-06-03;15:48:21;1;31.4;1;39
2015-06-03;15:48:25;1;31.4;1;42
2015-06-03;15:48:27;1;31.4;1;45
2015-06-03;15:48:29;1;31.4;1;45
2015-06-03;15:48:31;1;31.4;1;45
2015-06-03;15:48:33;1;31.4;1;46
2015-06-03;15:48:34;1;31.4;1;44
2015-06-03;15:48:36;1;31.4;1;43
2015-06-03;15:48:38;1;31.4;1;46
2015-06-03;15:48:40;1;31.4;1;44
2015-06-03;15:48:42;1;31.4;1;45
2015-06-03;15:48:44;1;31.4;1;44
2015-06-03;15:48:46;1;31.4;1;46
2015-06-03;15:48:48;1;31.4;1;47
2015-06-03;15:48:50;1;31.4;1;44
2015-06-03;15:48:52;1;31.4;1;47
2015-06-03;15:48:54;1;31.3;1;47
2015-06-03;15:48:55;1;31.4;1;44
2015-06-03;15:48:57;1;31.4;1;46
2015-06-03;15:48:59;1;31.3;1;47
2015-06-03;15:49:01;1;31.3;1;47
2015-06-03;15:49:03;1;31.3;1;46
2015-06-03;15:49:05;1;31.3;1;48
2015-06-03;15:49:07;1;31.3;1;47
2015-06-03;15:49:09;1;31.3;1;45
2015-06-03;15:49:11;1;31.3;1;45
2015-06-03;15:49:13;1;31.3;1;48
2015-06-03;15:49:15;1;31.3;1;47
2015-06-03;15:49:17;1;31.3;1;48
2015-06-03;15:49:18;1;31.3;1;49
2015-06-03;15:49:20;1;31.3;1;47
2015-06-03;15:49:25;1;31.3;1;49
2015-06-03;15:49:27;1;31.3;1;49
2015-06-03;15:49:29;1;31.3;1;49
2015-06-03;15:49:31;1;31.4;1;48
2015-06-03;15:49:33;1;31.3;1;47
2015-06-03;15:49:35;1;31.4;1;47
2015-06-03;15:49:37;1;31.3;1;48
2015-06-03;15:49:39;1;31.4;1;49
2015-06-03;15:49:41;1;31.4;1;47
2015-06-03;15:49:42;1;31.4;1;47
2015-06-03;15:49:44;1;31.3;1;48
2015-06-03;15:49:46;1;31.4;1;47
2015-06-03;15:49:48;1;31.3;1;49
2015-06-03;15:49:50;1;31.3;1;49
2015-06-03;15:49:52;1;31.4;1;48
2015-06-03;15:49:54;1;31.4;1;50
